session,site,species_order,family,binomial,species,size_bin,size_bin_lengths,predator_presence,habitat,octocoral,stony,relief_cm,nocturnal,position,behavior,max_length,colouration,cryptic_behaviour,trophic_position,shape,SVC_date,SVC_area,SVC_max_depth,SVC_density,pred_date,pred_depth,pred_area,pred_density,SVC_pred_difference,total_density,SVCpred_area_dif,log_difference,average_depth,pred_abundance,SVC_pred_abundance
141,BISC-P12a,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,42.62977,1,Patch,70,5,42.166666666666664,0,demersal,solitary,152,neutral,0,carnivore,fusiform,2014-09-16,78.53981634,15,0,2014-09-16,20,1131,8.841732979664014e-4,-8.841732979664014e-4,8.841732979664014e-4,-1052.46018366,-0.6334891559824962,17.5,1,0
141,BISC-P12a,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,42.62977,1,Patch,70,5,42.166666666666664,0,demersal,solitary,125,neutral,0,carnivore,fusiform,2014-09-16,78.53981634,15,0,2014-09-16,20,1131,8.841732979664014e-4,-8.841732979664014e-4,8.841732979664014e-4,-1052.46018366,-0.6334891559824962,17.5,1,0
141,BISC-P12a,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,42.62977,1,Patch,70,5,42.166666666666664,0,benthic,solitary,200,camouflage,1,carnivore,anguilliform,2014-09-16,78.53981634,15,0,2014-09-16,20,1131,0.0035366931918656055,-0.0035366931918656055,0.0035366931918656055,-1052.46018366,-1.5121983748258438,17.5,4,0
142,BISC-P13a,Anguilliformes,Muraenidae,Gymnothorax funebris,green moray,6,42.62977,1,Patch,80,5,49.076923076923066,1,demersal,solitary,250,neutral,1,carnivore,anguilliform,2014-09-16,153.93804,20,0,2014-09-16,16,3276,3.0525030525030525e-4,-3.0525030525030525e-4,3.0525030525030525e-4,-3122.06196,-0.2663948271719754,18,1,0
142,BISC-P13a,Scorpaeniformes,Scorpaenidae,Scorpaena plumieri,spotted scorpionfish,5,22.657,1,Patch,80,5,49.076923076923066,0,demersal,solitary,50,camouflage,1,carnivore,fusiform,2014-09-16,153.93804,20,0,2014-09-16,16,3276,3.0525030525030525e-4,-3.0525030525030525e-4,3.0525030525030525e-4,-3122.06196,-0.2663948271719754,18,1,0
143,BISC-W30a,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,16.60974,1,Continuous,40,2,36.38461538461539,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-16,153.93804,30,0.006496120127292773,2014-09-16,29,2000,0.001,0.005496120127292773,0.007496120127292773,-1846.06196,1.3212383897670819,29.5,2,1
143,BISC-W30a,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,22.657,1,Continuous,40,2,36.38461538461539,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-16,153.93804,30,0,2014-09-16,29,2000,0.002,-0.002,0.002,-1846.06196,-1.0986122886681091,29.5,4,0
143,BISC-W30a,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,42.62977,1,Continuous,40,2,36.38461538461539,0,benthic,solitary,200,camouflage,1,carnivore,anguilliform,2014-09-16,153.93804,30,0,2014-09-16,29,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,29.5,1,0
144,BISC-W40-b,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,42.62977,1,Continuous,50,10,58.92307692307693,0,demersal,solitary,152,neutral,0,carnivore,fusiform,2014-09-16,153.93804,50,0,2014-09-16,49,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,49.5,1,0
144,BISC-W40-b,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,16.60974,1,Continuous,50,10,58.92307692307693,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-16,153.93804,50,0.006496120127292773,2014-09-16,49,2000,5e-4,0.005996120127292772,0.006996120127292773,-1846.06196,1.6089204622188626,49.5,1,1
144,BISC-W40-b,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,22.657,1,Continuous,50,10,58.92307692307693,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-16,153.93804,50,0,2014-09-16,49,2000,0.0025,-0.0025,0.0025,-1846.06196,-1.252762968495368,49.5,5,0
144,BISC-W40-b,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,6,42.62977,1,Continuous,50,10,58.92307692307693,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-16,153.93804,50,0,2014-09-16,49,2000,0.001,-0.001,0.001,-1846.06196,-0.6931471805599454,49.5,2,0
144,BISC-W40-b,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,22.657,1,Continuous,50,10,58.92307692307693,1,demersal,solitary,45.7,neutral,1,carnivore,fusiform,2014-09-16,153.93804,50,0,2014-09-16,49,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,49.5,1,0
144,BISC-W40-b,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,6,42.62977,1,Continuous,50,10,58.92307692307693,1,demersal,solitary,45.7,neutral,1,carnivore,fusiform,2014-09-16,153.93804,50,0,2014-09-16,49,2000,0.001,-0.001,0.001,-1846.06196,-0.6931471805599454,49.5,2,0
144,BISC-W40-b,Perciformes,Epinephelidae,Epinephelus striatus,nassau grouper,6,42.62977,1,Continuous,50,10,58.92307692307693,0,demersal,solitary,100,neutral,0,carnivore,fusiform,2014-09-16,153.93804,50,0,2014-09-16,49,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,49.5,1,0
145,BISC-P11a,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,22.657,1,Patch,0,5,41.36,1,demersal,solitary,45.7,neutral,1,carnivore,fusiform,2014-09-17,78.53981634,12,0,2014-09-17,17,2142,4.6685340802987864e-4,-4.6685340802987864e-4,4.6685340802987864e-4,-2063.46018366,-0.3831195678078725,14.5,1,0
145,BISC-P11a,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,42.62977,1,Patch,0,5,41.36,0,demersal,solitary,125,neutral,0,carnivore,fusiform,2014-09-17,78.53981634,12,0,2014-09-17,17,2142,9.337068160597573e-4,-9.337068160597573e-4,9.337068160597573e-4,-2063.46018366,-0.659438790947835,14.5,2,0
146,BISC-P15a,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,42.62977,1,Patch,75,5,55.51219512195122,0,benthic,solitary,200,camouflage,1,carnivore,anguilliform,2014-09-17,78.53981634,20,0.01273239544731026,2014-09-17,20,9240,2.1645021645021645e-4,0.012515945230860043,0.012948845663760478,-9161.46018366,2.423820713871785,20,2,1
147,BISC-W12,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,16.60974,1,Continuous,40,5,37.80769230769231,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-17,153.93804,61,0.006496120127292773,2014-09-17,57.5,2000,5e-4,0.005996120127292772,0.006996120127292773,-1846.06196,1.6089204622188626,59.25,1,1
147,BISC-W12,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,22.657,1,Continuous,40,5,37.80769230769231,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-17,153.93804,61,0,2014-09-17,57.5,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,59.25,1,0
147,BISC-W12,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,22.657,1,Continuous,40,5,37.80769230769231,1,demersal,solitary,45.7,neutral,1,carnivore,fusiform,2014-09-17,153.93804,61,0,2014-09-17,57.5,2000,0.001,-0.001,0.001,-1846.06196,-0.6931471805599454,59.25,2,0
147,BISC-W12,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,6,42.62977,1,Continuous,40,5,37.80769230769231,1,demersal,solitary,45.7,neutral,1,carnivore,fusiform,2014-09-17,153.93804,61,0,2014-09-17,57.5,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,59.25,1,0
147,BISC-W12,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,42.62977,1,Continuous,40,5,37.80769230769231,0,benthic,solitary,200,camouflage,1,carnivore,anguilliform,2014-09-17,153.93804,61,0,2014-09-17,57.5,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,59.25,1,0
147,BISC-W12,Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,6,42.62977,1,Continuous,40,5,37.80769230769231,0,demersal,solitary,94,silvering,0,invertivore,fusiform,2014-09-17,153.93804,61,0.006496120127292773,2014-09-17,57.5,2000,0,0.006496120127292773,0.006496120127292773,-1846.06196,2.0143855703270273,59.25,0,1
