session,species,size_bin,SVC_prey_abundance,prey_abundance,size_bin_lengths
141,threespot damselfish,2,2,1,7.528017
141,yellowtail snapper,2,1,8,7.528017
141,redband parrotfish,1,1,6,3.634207
141,stoplight parrotfish,1,1,2,3.634207
141,white grunt,2,51.75,64,7.528017
141,striped parrotfish,1,3.75,7,3.634207
141,cocoa damselfish,2,1,0,7.528017
141,blue tang,2,1,0,7.528017
141,bluestriped grunt,3,1,0,12.9106
141,juvenile hamlet,2,1,0,7.528017
141,butter hamlet,3,1,0,12.9106
141,trumpetfish,6,1,0,47.85287
141,foureye butterflyfish,2,1,0,7.528017
141,redband parrotfish,2,2,4,7.528017
141,stoplight parrotfish,3,2,1,12.9106
141,striped parrotfish,2,7.5,3,7.528017
141,white grunt,4,16.25,4,17.94324
141,striped parrotfish,4,2.75,0,17.94324
141,yellowtail snapper,3,1,0,12.9106
141,redband parrotfish,3,1,2,12.9106
141,stoplight parrotfish,6,1,0,47.85287
141,white grunt,5,1,2,24.92811
141,striped parrotfish,5,1,0,24.92811
141,beaugregory,1,0,2,3.634207
141,blue angelfish,4,0,1,17.94324
141,bluehead wrasse,1,0,1,3.634207
141,bluestriped grunt,2,0,4,7.528017
141,bluestriped grunt,5,0,2,24.92811
141,bridled goby,1,0,1,3.634207
141,butter hamlet,2,0,4,7.528017
141,colon goby,1,0,1,3.634207
141,dusky damselfish,2,0,1,7.528017
141,goldspot goby,1,0,1,3.634207
141,goldspot goby,2,0,2,7.528017
141,gray angelfish,2,0,1,7.528017
141,masked goby,1,0,10,3.634207
141,queen angelfish,3,0,1,12.9106
141,red grouper,5,0,1,24.92811
141,roughhead blenny,1,0,1,3.634207
141,sand diver,5,0,1,24.92811
141,sharpnose puffer,2,0,1,7.528017
141,slippery dick,3,0,2,12.9106
141,spotted moray,6,0,2,47.85287
141,stoplight parrotfish,2,0,3,7.528017
141,striped parrotfish,3,0,1,12.9106
141,white grunt,1,0,1,3.634207
141,white grunt,3,0,21,12.9106
142,trumpetfish,6,2,0,47.85287
142,bluehead wrasse,1,1,0,3.634207
142,redband parrotfish,1,1,3,3.634207
142,yellowtail snapper,3,11.25,12,12.9106
142,bluehead wrasse,2,4.25,5,7.528017
142,redband parrotfish,2,4,7,7.528017
142,bicolor damselfish,2,1,1,7.528017
142,threespot damselfish,2,1,3,7.528017
142,white grunt,5,1,6,24.92811
142,sergeant major,3,1,0,12.9106
142,stoplight parrotfish,2,1,3,7.528017
142,sharpnose puffer,1,1,1,3.634207
142,bar jack,2,1,0,7.528017
142,striped parrotfish,2,1,5,7.528017
142,bluehead wrasse,3,1.75,0,12.9106
142,yellowtail snapper,4,3.75,0,17.94324
142,redband parrotfish,3,1,1,12.9106
142,beaugregory,2,0,2,7.528017
142,bicolor damselfish,1,0,3,3.634207
142,black hamlet,2,0,1,7.528017
142,bluestriped grunt,4,0,1,17.94324
142,bridled goby,1,0,2,3.634207
142,butter hamlet,2,0,1,7.528017
142,goldspot goby,1,0,1,3.634207
142,highhat,3,0,1,12.9106
142,neon goby,1,0,1,3.634207
142,roughhead blenny,1,0,2,3.634207
142,schoolmaster snapper,4,0,1,17.94324
142,slippery dick,2,0,1,7.528017
142,stoplight parrotfish,1,0,2,3.634207
142,stoplight parrotfish,3,0,1,12.9106
142,white grunt,2,0,2,7.528017
142,white grunt,3,0,9,12.9106
142,white grunt,4,0,5,17.94324
142,yellowhead wrasse,2,0,2,7.528017
143,clown wrasse,2,2,4,7.528017
143,foureye butterflyfish,2,1,2,7.528017
143,slender filefish,1,2,0,3.634207
143,greenblotch parrotfish,1,3,2,3.634207
143,bluehead wrasse,1,3.5,63,3.634207
143,redband parrotfish,1,1,39,3.634207
143,yellowhead wrasse,1,1,4,3.634207
143,slippery dick,1,1.5,0,3.634207
143,bicolor damselfish,1,7.5,57,3.634207
143,redband parrotfish,2,3,11,7.528017
143,yellowhead wrasse,2,5,21,7.528017
143,smooth trunkfish,4,1,0,17.94324
143,white grunt,4,1,0,17.94324
143,ocean surgeonfish,2,1,0,7.528017
143,graysby,4,1,2,17.94324
143,sharpnose puffer,1,1,7,3.634207
143,lantern bass,1,1,0,3.634207
143,bluehead wrasse,2,9.5,74,7.528017
143,redband parrotfish,3,11,1,12.9106
143,slippery dick,2,4.5,4,7.528017
143,bicolor damselfish,2,2.5,25,7.528017
143,foureye butterflyfish,3,1,0,12.9106
143,greenblotch parrotfish,2,1,0,7.528017
143,bluehead wrasse,3,1,2,12.9106
143,redband parrotfish,4,1,2,17.94324
143,banded butterflyfish,3,0,2,12.9106
143,bar jack,5,0,6,24.92811
143,beaugregory,2,0,1,7.528017
143,blue chromis,2,0,2,7.528017
143,bridled goby,1,0,11,3.634207
143,bridled goby,2,0,4,7.528017
143,butter hamlet,2,0,1,7.528017
143,clown wrasse,1,0,1,3.634207
143,clown wrasse,3,0,2,12.9106
143,colon goby,1,0,22,3.634207
143,creole wrasse,2,0,6,7.528017
143,doctorfish,5,0,1,24.92811
143,goldspot goby,1,0,35,3.634207
143,goldspot goby,2,0,3,7.528017
143,graysby,3,0,1,12.9106
143,graysby,5,0,2,24.92811
143,harlequin bass,1,0,2,3.634207
143,harlequin bass,2,0,3,7.528017
143,highhat,3,0,1,12.9106
143,longfin damselfish,2,0,5,7.528017
143,longfin damselfish,3,0,1,12.9106
143,masked goby,1,0,15,3.634207
143,ocean surgeonfish,3,0,1,12.9106
143,ocean surgeonfish,4,0,4,17.94324
143,pallid goby,1,0,3,3.634207
143,redband parrotfish,5,0,3,24.92811
143,rock beauty,1,0,1,3.634207
143,roughhead blenny,1,0,6,3.634207
143,scrawled filefish,6,0,1,47.85287
143,sergeant major,3,0,1,12.9106
143,spanish hogfish,4,0,1,17.94324
143,spotfin butterflyfish,3,0,2,12.9106
143,stoplight parrotfish,1,0,2,3.634207
143,stoplight parrotfish,2,0,1,7.528017
143,stoplight parrotfish,5,0,2,24.92811
143,striped parrotfish,1,0,3,3.634207
143,trumpetfish,6,0,1,47.85287
143,white grunt,3,0,1,12.9106
143,white grunt,5,0,1,24.92811
143,yellowhead wrasse,3,0,1,12.9106
143,yellowtail damselfish,3,0,1,12.9106
143,yellowtail snapper,4,0,2,17.94324
144,yellowhead wrasse,1,1,1,3.634207
144,ocean surgeonfish,3,2,0,12.9106
144,spotted goatfish,5,2,0,24.92811
144,scrawled filefish,5,1,0,24.92811
144,blue tang,3,1,0,12.9106
144,reef butterflyfish,2,3,0,7.528017
144,bicolor damselfish,1,10,11,3.634207
144,blue chromis,2,5,0,7.528017
144,bluehead wrasse,1,1,5,3.634207
144,princess parrotfish,3,1,1,12.9106
144,striped parrotfish,1,1,2,3.634207
144,masked goby,1,49,309,3.634207
144,bluehead wrasse,2,5.75,68,7.528017
144,princess parrotfish,4,0.25,0,17.94324
144,striped parrotfish,2,7,0,7.528017
144,harlequin bass,2,1,0,7.528017
144,blue parrotfish,6,1,0,47.85287
144,graysby,3,1,0,12.9106
144,rock beauty,3,1,0,12.9106
144,white grunt,5,1,0,24.92811
144,cocoa damselfish,2,1,0,7.528017
144,sharpnose puffer,1,1,6,3.634207
144,yellowtail parrotfish,6,1,0,47.85287
144,brown chromis,2,1,0,7.528017
144,orangespotted filefish,6,1,0,47.85287
144,redband parrotfish,4,1,0,17.94324
144,foureye butterflyfish,2,1,0,7.528017
144,spanish hogfish,3,1,0,12.9106
144,stoplight parrotfish,6,1,0,47.85287
144,greenblotch parrotfish,2,1,2,7.528017
144,cero,6,1,0,47.85287
144,clown wrasse,2,1,0,7.528017
144,blue tang,5,2,0,24.92811
144,bicolor damselfish,2,30,8,7.528017
144,princess parrotfish,5,2.5,0,24.92811
144,bluehead wrasse,3,2.25,2,12.9106
144,princess parrotfish,6,1.25,0,47.85287
144,yellowhead wrasse,2,1,1,7.528017
144,scrawled filefish,6,1,1,47.85287
144,reef butterflyfish,3,1,0,12.9106
144,blue chromis,3,1,0,12.9106
144,striped parrotfish,3,1,0,12.9106
144,masked goby,2,1,0,7.528017
144,beaugregory,2,0,1,7.528017
144,bridled goby,1,0,11,3.634207
144,bridled goby,2,0,5,7.528017
144,butter hamlet,3,0,2,12.9106
144,creole wrasse,1,0,1,3.634207
144,doctorfish,4,0,1,17.94324
144,goldspot goby,1,0,5,3.634207
144,gray angelfish,6,0,2,47.85287
144,greenblotch parrotfish,1,0,1,3.634207
144,longfin damselfish,2,0,1,7.528017
144,pallid goby,1,0,8,3.634207
144,princess parrotfish,2,0,2,7.528017
144,redband parrotfish,1,0,3,3.634207
144,redband parrotfish,2,0,2,7.528017
144,redband parrotfish,3,0,2,12.9106
144,stoplight parrotfish,2,0,1,7.528017
145,cocoa damselfish,2,2,0,7.528017
145,gray snapper,5,2,1,24.92811
145,trumpetfish,6,2,1,47.85287
145,bar jack,2,2,0,7.528017
145,yellowhead wrasse,2,3,1,7.528017
145,bluehead wrasse,2,7,4,7.528017
145,striped parrotfish,1,18.75,6,3.634207
145,yellowtail snapper,3,1,2,12.9106
145,white grunt,3,1,2,12.9106
145,slippery dick,2,1,0,7.528017
145,blue tang,3,1,0,12.9106
145,redband parrotfish,3,1,3,12.9106
145,stoplight parrotfish,3,1,1,12.9106
145,townsend angelfish,3,1,0,12.9106
145,banded butterflyfish,2,1,0,7.528017
145,bluestriped grunt,4,1,1,17.94324
145,puddingwife,1,1,0,3.634207
145,striped parrotfish,2,6.25,15,7.528017
145,bluehead wrasse,3,1,0,12.9106
145,beaugregory,2,0,2,7.528017
145,bicolor damselfish,2,0,1,7.528017
145,blue parrotfish,2,0,1,7.528017
145,bluehead wrasse,1,0,2,3.634207
145,bluestriped grunt,3,0,1,12.9106
145,bluestriped grunt,5,0,1,24.92811
145,bluestriped grunt,6,0,1,47.85287
145,bridled goby,1,0,2,3.634207
145,butter hamlet,2,0,2,7.528017
145,doctorfish,4,0,1,17.94324
145,foureye butterflyfish,2,0,1,7.528017
145,french grunt,3,0,2,12.9106
145,french grunt,4,0,1,17.94324
145,goldspot goby,1,0,1,3.634207
145,masked goby,1,0,6,3.634207
145,midnight parrotfish,2,0,1,7.528017
145,ocean surgeonfish,3,0,1,12.9106
145,puddingwife,2,0,1,7.528017
145,queen angelfish,3,0,1,12.9106
145,redband parrotfish,1,0,8,3.634207
145,redband parrotfish,2,0,7,7.528017
145,redband parrotfish,4,0,1,17.94324
145,sharpnose puffer,2,0,2,7.528017
145,smooth trunkfish,4,0,1,17.94324
145,stoplight parrotfish,1,0,10,3.634207
145,stoplight parrotfish,2,0,9,7.528017
145,stoplight parrotfish,5,0,2,24.92811
145,striped parrotfish,3,0,1,12.9106
145,threespot damselfish,2,0,2,7.528017
145,white grunt,4,0,5,17.94324
146,white grunt,3,1,14,12.9106
146,blue tang,3,1,0,12.9106
146,atlantic spadefish,5,1,0,24.92811
146,bluestriped grunt,4,2,2,17.94324
146,bicolor damselfish,1,2,0,3.634207
146,bluehead wrasse,1,1,0,3.634207
146,redband parrotfish,1,6.75,27,3.634207
146,stoplight parrotfish,1,3.75,7,3.634207
146,striped parrotfish,1,15,16,3.634207
146,yellow chub,5,1,0,24.92811
146,yellowtail snapper,2,9.75,0,7.528017
146,bar jack,2,6.75,0,7.528017
146,masked goby,1,10,11,3.634207
146,bluehead wrasse,2,10,1,7.528017
146,yellow chub,6,12,0,47.85287
146,slippery dick,2,1,0,7.528017
146,spotted moray,6,1,0,47.85287
146,harlequin bass,2,1,0,7.528017
146,gray snapper,5,1,6,24.92811
146,ocean surgeonfish,3,1,1,12.9106
146,queen angelfish,4,1,0,17.94324
146,beaugregory,1,1,2,3.634207
146,french angelfish,6,1,0,47.85287
146,gray angelfish,5,1,0,24.92811
146,blue parrotfish,2,1,0,7.528017
146,goldspot goby,1,1,0,3.634207
146,reef butterflyfish,2,1,0,7.528017
146,doctorfish,3,1,0,12.9106
146,yellowhead wrasse,3,1,0,12.9106
146,redband parrotfish,2,1.25,15,7.528017
146,stoplight parrotfish,2,1.25,9,7.528017
146,striped parrotfish,2,5,7,7.528017
146,yellowtail snapper,3,3.25,0,12.9106
146,bar jack,3,2.25,0,12.9106
146,white grunt,4,1,4,17.94324
146,blue tang,4,1,0,17.94324
146,atlantic spadefish,6,1,0,47.85287
146,bluestriped grunt,5,1,13,24.92811
146,bicolor damselfish,2,1,0,7.528017
146,bluehead wrasse,3,1,0,12.9106
146,redband parrotfish,3,1,2,12.9106
146,beaugregory,2,0,1,7.528017
146,butter hamlet,2,0,2,7.528017
146,butter hamlet,3,0,1,12.9106
146,clown wrasse,2,0,1,7.528017
146,colon goby,1,0,3,3.634207
146,french grunt,3,0,1,12.9106
146,french grunt,4,0,1,17.94324
146,gray snapper,3,0,1,12.9106
146,gray snapper,6,0,1,47.85287
146,midnight parrotfish,5,0,1,24.92811
146,ocean surgeonfish,4,0,1,17.94324
146,pallid goby,1,0,1,3.634207
146,schoolmaster snapper,5,0,1,24.92811
146,schoolmaster snapper,6,0,1,47.85287
146,sharpnose puffer,1,0,1,3.634207
146,sharpnose puffer,2,0,1,7.528017
146,stoplight parrotfish,3,0,1,12.9106
146,stoplight parrotfish,4,0,1,17.94324
146,stoplight parrotfish,5,0,1,24.92811
146,stoplight parrotfish,6,0,1,47.85287
146,white grunt,5,0,13,24.92811
146,yellowtail snapper,4,0,1,17.94324
147,blue tang,3,2,0,12.9106
147,doctorfish,4,1,0,17.94324
147,clown wrasse,2,1,0,7.528017
147,greenblotch parrotfish,1,1,0,3.634207
147,ocean surgeonfish,3,1,0,12.9106
147,reef butterflyfish,2,1,0,7.528017
147,yellowhead wrasse,1,1,2,3.634207
147,trumpetfish,4,3,0,17.94324
147,blue chromis,2,3,1,7.528017
147,bluelip parrotfish,1,3,0,3.634207
147,striped parrotfish,2,1,0,7.528017
147,sharpnose puffer,1,4,16,3.634207
147,bicolor damselfish,1,10,33,3.634207
147,bluehead wrasse,1,7.5,0,3.634207
147,redband parrotfish,1,1,12,3.634207
147,princess parrotfish,1,1,0,3.634207
147,masked goby,1,10,0,3.634207
147,atlantic spadefish,5,1,3,24.92811
147,creole wrasse,1,1,0,3.634207
147,redband parrotfish,2,5,3,7.528017
147,princess parrotfish,2,0.5,8,7.528017
147,atlantic spadefish,6,19,0,47.85287
147,creole wrasse,2,98,0,7.528017
147,porkfish,6,1,0,47.85287
147,white grunt,3,1,0,12.9106
147,french grunt,3,1,0,12.9106
147,graysby,4,1,0,17.94324
147,hogfish,6,1,0,47.85287
147,foureye butterflyfish,2,1,0,7.528017
147,brown chromis,3,1,0,12.9106
147,gray angelfish,6,1,0,47.85287
147,bandtail puffer,2,1,0,7.528017
147,queen angelfish,6,1,0,47.85287
147,rock beauty,3,1,0,12.9106
147,butter hamlet,2,1,1,7.528017
147,stoplight parrotfish,5,1,0,24.92811
147,harlequin bass,2,1,1,7.528017
147,slender filefish,1,1,0,3.634207
147,french angelfish,5,1,0,24.92811
147,spotted goatfish,3,1,0,12.9106
147,mutton snapper,6,1,0,47.85287
147,scrawled filefish,6,1,0,47.85287
147,blue parrotfish,6,1,0,47.85287
147,yellowhead wrasse,2,2,7,7.528017
147,striped parrotfish,3,2,1,12.9106
147,bicolor damselfish,2,30,23,7.528017
147,bluehead wrasse,2,22.5,34,7.528017
147,princess parrotfish,3,3,0,12.9106
147,redband parrotfish,4,1,0,17.94324
147,princess parrotfish,5,0.5,0,24.92811
147,doctorfish,5,1,0,24.92811
147,clown wrasse,3,1,0,12.9106
147,greenblotch parrotfish,2,1,0,7.528017
147,ocean surgeonfish,4,1,0,17.94324
147,reef butterflyfish,3,1,0,12.9106
147,yellowhead wrasse,3,1,5,12.9106
147,trumpetfish,6,1,0,47.85287
147,blue chromis,3,1,0,12.9106
147,bluelip parrotfish,2,1,0,7.528017
147,striped parrotfish,5,1,0,24.92811
147,sharpnose puffer,2,1,0,7.528017
147,redband parrotfish,5,1,1,24.92811
147,princess parrotfish,6,1,0,47.85287
147,creole wrasse,3,1,0,12.9106
147,bluehead wrasse,3,0,1,12.9106
147,bridled goby,1,0,19,3.634207
147,goldspot goby,1,0,7,3.634207
147,graysby,2,0,1,7.528017
147,graysby,3,0,2,12.9106
147,harlequin bass,1,0,1,3.634207
147,longspine squirrelfish,4,0,1,17.94324
147,longspine squirrelfish,5,0,3,24.92811
147,pallid goby,1,0,1,3.634207
147,redband parrotfish,3,0,1,12.9106
147,spotfin butterflyfish,3,0,1,12.9106
148,spanish hogfish,1,2,0,3.634207
148,sharpnose puffer,1,2,9,3.634207
148,graysby,2,1,0,7.528017
148,blue tang,3,2,0,12.9106
148,reef butterflyfish,2,2,0,7.528017
148,doctorfish,3,1,0,12.9106
148,blue dartfish,2,2,0,7.528017
148,yellowhead wrasse,2,2,13,7.528017
148,squirrelfish,5,2,1,24.92811
148,bluelip parrotfish,1,2,0,3.634207
148,princess parrotfish,2,3,2,7.528017
148,white grunt,5,4,1,24.92811
148,bicolor damselfish,1,56.25,50,3.634207
148,bluehead wrasse,1,2.75,30,3.634207
148,redband parrotfish,2,6.75,8,7.528017
148,blue chromis,2,3.75,6,7.528017
148,masked goby,1,85,691,3.634207
148,brown chromis,2,1,1,7.528017
148,brown chromis,3,4,1,12.9106
148,harlequin bass,1,1,0,3.634207
148,porkfish,5,1,0,24.92811
148,smooth trunkfish,4,1,0,17.94324
148,rock beauty,2,1,1,7.528017
148,scrawled filefish,6,1,0,47.85287
148,butter hamlet,2,1,0,7.528017
148,spotted moray,6,1,0,47.85287
148,cero,6,1,0,47.85287
148,spotted goatfish,3,1,1,12.9106
148,banded butterflyfish,4,1,0,17.94324
148,creole wrasse,1,1,0,3.634207
148,gray angelfish,6,1,0,47.85287
148,yellowhead jawfish,2,1,0,7.528017
148,striped parrotfish,2,1,3,7.528017
148,puddingwife,6,1,0,47.85287
148,blue angelfish,6,1,0,47.85287
148,bluehead wrasse,2,7.25,25,7.528017
148,bicolor damselfish,2,18.75,19,7.528017
148,redband parrotfish,4,1.25,0,17.94324
148,blue chromis,3,1.25,0,12.9106
148,graysby,3,1,2,12.9106
148,doctorfish,4,1,1,17.94324
148,yellowhead wrasse,3,1,0,12.9106
148,squirrelfish,6,1,1,47.85287
148,bluelip parrotfish,2,1,0,7.528017
148,princess parrotfish,5,1,0,24.92811
148,bluehead wrasse,3,1,1,12.9106
148,redband parrotfish,5,1,0,24.92811
148,beaugregory,2,0,2,7.528017
148,blue chromis,1,0,2,3.634207
148,bridled goby,1,0,9,3.634207
148,bridled goby,2,0,1,7.528017
148,creole wrasse,2,0,120,7.528017
148,foureye butterflyfish,2,0,4,7.528017
148,goldspot goby,1,0,21,3.634207
148,goldspot goby,2,0,4,7.528017
148,greenblotch parrotfish,1,0,1,3.634207
148,harlequin bass,2,0,2,7.528017
148,hogfish,6,0,1,47.85287
148,neon goby,1,0,2,3.634207
148,pallid goby,1,0,24,3.634207
148,pallid goby,2,0,3,7.528017
148,porkfish,2,0,1,7.528017
148,queen angelfish,5,0,1,24.92811
148,redband parrotfish,1,0,22,3.634207
148,redband parrotfish,3,0,4,12.9106
148,roughhead blenny,1,0,1,3.634207
148,spanish hogfish,2,0,1,7.528017
148,spotfin butterflyfish,2,0,2,7.528017
148,stoplight parrotfish,6,0,1,47.85287
