session,species,size_bin,SVC_abundance,prey_abundance,pred_abundance,size_bin_lengths
141,threespot damselfish,2,2,1,0,6.506205
141,yellowtail snapper,3,2,0,0,11.40044
141,redband parrotfish,1,1,4,0,3.265599
141,stoplight parrotfish,2,1,4,0,6.506205
141,white grunt,2,17.25,65,0,6.506205
141,striped parrotfish,1,1,6,0,3.265599
141,striped parrotfish,2,10.25,3,0,6.506205
141,cocoa damselfish,2,1,0,0,6.506205
141,blue tang,3,1,0,0,11.40044
141,bluestriped grunt,3,1,0,0,11.40044
141,juvenile hamlet,2,1,0,0,6.506205
141,butter hamlet,3,1,0,0,11.40044
141,trumpetfish,6,1,0,0,42.62977
141,foureye butterflyfish,2,1,0,0,6.506205
141,redband parrotfish,3,3,2,0,11.40044
141,stoplight parrotfish,4,2,0,0,16.60974
141,white grunt,3,34.5,4,0,11.40044
141,white grunt,4,16.25,21,0,16.60974
141,striped parrotfish,4,2.75,0,0,16.60974
141,stoplight parrotfish,6,1,0,0,42.62977
141,white grunt,5,1,2,0,22.657
141,striped parrotfish,5,1,0,0,22.657
141,beaugregory,1,0,2,0,3.265599
141,blue angelfish,4,0,1,0,16.60974
141,bluehead wrasse,1,0,1,0,3.265599
141,bluestriped grunt,2,0,4,0,6.506205
141,bluestriped grunt,5,0,2,0,22.657
141,bridled goby,2,0,1,0,6.506205
141,butter hamlet,2,0,4,0,6.506205
141,colon goby,2,0,1,0,6.506205
141,dusky damselfish,2,0,1,0,6.506205
141,goldspot goby,2,0,3,0,6.506205
141,gray angelfish,2,0,1,0,6.506205
141,masked goby,1,0,10,0,3.265599
141,queen angelfish,3,0,1,0,11.40044
141,red grouper,5,0,1,0,22.657
141,redband parrotfish,2,0,5,0,6.506205
141,redband parrotfish,4,0,1,0,16.60974
141,roughhead blenny,1,0,1,0,3.265599
141,sand diver,6,0,1,0,42.62977
141,sharpnose puffer,2,0,1,0,6.506205
141,slippery dick,3,0,2,0,11.40044
141,spotted moray,6,0,2,4,42.62977
141,stoplight parrotfish,1,0,1,0,3.265599
141,stoplight parrotfish,3,0,1,0,11.40044
141,striped parrotfish,3,0,2,0,11.40044
141,yellowtail snapper,2,0,8,0,6.506205
141,black grouper,6,0,0,1,42.62977
141,red grouper,6,0,0,1,42.62977
142,trumpetfish,6,2,0,0,42.62977
142,bluehead wrasse,2,5.25,1,0,6.506205
142,redband parrotfish,1,1,2,0,3.265599
142,yellowtail snapper,3,3.75,12,0,11.40044
142,redband parrotfish,2,3.5,7,0,6.506205
142,bicolor damselfish,2,1,1,0,6.506205
