Session,Site,Latitude,Longitude,Reef Type
141,BISC-P12a,25.37149,-80.18525,Patch
142,BISC-P13a,25.36596,-80.17025,Patch
143,BISC-W30a,25.362517,-80.14045,Continuous
144,BISC-W40-b,25.38493,-80.132617,Continuous
145,BISC-P11a,25.3891,-80.1749,Patch
146,BISC-P15a,25.32747,-80.19591,Patch
147,BISC-W12,25.29342,-80.16365,Continuous
148,BISC-W13,25.3259,-80.15105,Continuous
149,BISC-P7a,25.4388,-80.15648,Patch
150,BISC-P9a,25.41211,-80.15293,Patch
151,BISC-W60-2b,25.44028,80.11593,Continuous
152,BISC-W60-6d,25.41218,-80.12433,Continuous
153,BISC-P10a,25.38374,-80.15926,Patch
154,BISC-P14a,25.34455,-80.19677,Patch
155,BISC-W60-11c,25.306517,-80.15473,Continuous
156,BISC-W60-4b,25.341617,-80.146217,Continuous
157,Dixie Ledge,25.06985,-80.3169,Continuous
158,KL-P6,25.10627,-80.33422,Patch
159,KL-P7,25.11229,-80.33028,Patch
160,KL-P8,25.12267,-80.3382,Patch
161,KL-W7,25.11549,-80.27799,Continuous
162,DANGER 88,25.18487,-80.26943,Patch
163,KL-30,25.13613,-80.33527,Patch
164,KL-P4,25.09616,-80.3584,Patch
165,KL-W2,25.01708,-80.36359,Continuous
166,KL-W8,25.12948,-80.26458,Continuous
168,KL-P11,25.2076,-80.28345,Patch
169,KL-P13,25.239,-80.27525,Patch
170,KL-P14,25.27105,-80.25161,Patch
171,KL-W11,25.15847,-80.25019,Continuous
172,KL-W12,25.18503,-80.2245,Continuous
173,KL-W13,25.197817,-80.219733,Continuous
174,FKSP1,24.83727,-80.73035,Patch
175,Ten 2a,24.76258,-80.75648,Continuous
176,Ten 3a,24.76418,-80.75455,Continuous
177,Ten 5a,24.76603,-80.75181,Continuous
182,KL-P2,25.0427,-80.4077,Patch
185,BISC-P12a,25.37149,-80.18525,Patch
186,BISC-P13a,25.36596,-80.17025,Patch
187,BISC-W13,25.3259,-80.15105,Continuous
188,BISC-W60-4b,25.341617,-80.146217,Continuous
189,KL-W2,25.01708,-80.36359,Continuous
190,KL-W7,25.11549,-80.27799,Continuous
191,BISC-P14a,25.34455,-80.19677,Patch
192,BISC-P15a,25.32747,-80.19591,Patch
193,BISC-W12,25.29342,-80.16365,Continuous
194,BISC-W60-11c,25.306517,-80.15473,Continuous
195,BISC-P10a,25.38374,-80.15926,Patch
196,BISC-P11a,25.3891,-80.1749,Patch
197,BISC-W30a,25.362517,-80.14045,Continuous
198,BISC-W40-b,25.38493,-80.132617,Continuous
199,BISC-P7a,25.4388,-80.15648,Patch
200,BISC-P9a,25.41211,-80.15293,Patch
201,BISC-W60-2b,25.44028,80.11593,Continuous
202,BISC-W60-6d,25.41218,-80.12433,Continuous
203,FKSP1,24.83727,-80.73035,Patch
204,Ten 2a,24.76258,-80.75648,Continuous
205,Ten 3a,24.76418,-80.75455,Continuous
206,Ten 5a,24.76603,-80.75181,Continuous
207,Conch 3a,24.9515,-80.45342,Continuous
208,Conch 4b,24.95083,-80.45528,Continuous
209,Conch 6a,24.94922,-80.45422,Continuous
210,KL-P2,25.0427,-80.4077,Patch
211,DANGER 88,25.18487,-80.26943,Patch
212,KL-P11,25.2076,-80.28345,Patch
213,KL-P13,25.239,-80.27525,Patch
214,KL-P14,25.27105,-80.25161,Patch
215,KL-W12,25.18503,-80.2245,Continuous
216,KL-W13,25.197817,-80.219733,Continuous
217,KL-P5,25.0995,-80.3418,Patch
218,KL-P6,25.10627,-80.33422,Patch
219,KL-P7,25.11229,-80.33028,Patch
220,KL-W11,25.15847,-80.25019,Continuous
221,KL-W8,25.12948,-80.26458,Continuous
222,Benwood Ledge,25.05202,-80.33108,Continuous
